@relation 'AT: Sample1 (1)-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.379Residents-0.349M1 Qualification-0.311Father Qualification-0.304Xmarks+0.288Year Gap...' numeric
@attribute '-0.483Xboard+0.347Residence-0.3College Liking-0.269XIIMarks-0.267Xmarks...' numeric
@attribute '0.514Travel Duration+0.317Family Business+0.315Father Qualification-0.278Travel Way-0.262Region...' numeric
@attribute '-0.385XIIGrade-0.336Co-Curricular+0.336XIIMarks+0.303Fianancial Crisis+0.287Post Graduation...' numeric
@attribute '0.475Post Graduation+0.409Programming Experience-0.348Branch+0.348Health-0.311Fianancial Crisis...' numeric
@attribute '-0.566Sibling to look-0.345Programming Experience+0.311Co-Curricular+0.304Post Graduation-0.25Computer Access...' numeric
@attribute '0.52 Fianancial Crisis-0.424Branch-0.377College Liking+0.328XIIGrade+0.248Region...' numeric
@attribute '0.523Gender+0.43 Co-Curricular+0.423Programming Experience-0.365Travel Way-0.285Health...' numeric
@attribute '-0.393Year Gap+0.327Computer Access-0.319Programming Experience-0.286Xboard-0.285Gender...' numeric
@attribute '-0.367Gender+0.35 Co-Curricular+0.347Xboard-0.292Region+0.267Fianancial Crisis...' numeric
@attribute '0.513Branch+0.406Health-0.343Travel Way+0.31 Region-0.29XIIMarks...' numeric
@attribute '-0.389Computer Access-0.388Post Graduation+0.375Programming Experience-0.329Year Gap-0.303Sibling to look...' numeric
@attribute Grades {AVG,GOOD,BAVG,VRYGOOD,EXCL}

@data
-0.660397,0.692989,-0.090616,-1.093306,-0.032792,0.67444,0.701803,0.062376,-0.232491,0.160807,-1.726256,1.16342,AVG
-1.217259,0.09996,-0.094059,-0.438683,-0.389514,-1.102386,0.756684,-2.07457,0.597927,-0.773703,-0.39709,-0.027629,AVG
-1.205655,-0.305491,1.550138,-0.710318,-0.94425,-0.224283,-0.14548,0.861303,1.173851,1.210955,-2.664613,0.978918,GOOD
-1.868516,0.238066,-0.198413,0.621386,1.245048,-1.46702,0.363209,-1.146029,-0.322067,-0.344234,-0.224435,0.062255,GOOD
0.474295,-0.13896,-0.5355,0.306655,-0.217271,1.70807,2.083087,-0.902142,-0.266206,1.31281,0.278364,-1.642884,BAVG
-0.885308,0.661114,1.042831,-1.126613,-1.552688,0.68982,-0.517326,0.070236,-0.394718,1.211609,-1.125242,-0.387072,AVG
-1.00939,-0.570426,-0.307078,-0.251239,-1.043174,-1.435644,0.402951,1.774985,-0.921769,-0.322053,-1.049565,-0.527711,VRYGOOD
-2.027642,0.115097,1.741474,-0.343373,-0.411731,-0.199768,-0.626412,0.054817,1.378585,-1.672735,-0.010545,0.346898,VRYGOOD
-0.908148,1.562349,-0.331945,0.173159,1.045589,0.682857,0.476138,0.082284,-0.737719,1.374512,-0.683049,-0.263474,GOOD
-1.013094,-0.872509,-0.330216,-0.801795,-0.354057,-0.580474,0.097873,-0.918808,0.880385,-0.229252,-0.026113,-0.364881,GOOD
-0.984455,-0.12996,-0.22846,0.417337,-0.43002,-0.077529,0.715471,0.752401,-0.706263,1.322227,-0.336096,0.671331,AVG
-0.854018,0.93944,-0.124486,1.009289,0.755637,-0.50968,1.349937,0.39231,0.832992,-1.567908,-0.345987,2.292588,VRYGOOD
-1.299624,-0.593997,0.156614,-0.632973,0.262094,-0.069747,0.006566,-1.16866,-1.119403,0.514069,-0.273522,-2.314752,GOOD
-0.582868,-0.795131,0.52012,0.982132,-0.469637,0.342745,1.808123,-0.496439,-0.781581,-1.68234,0.022706,-1.64282,GOOD
2.045437,0.44346,0.352752,1.887417,-0.228018,2.171192,0.986513,0.067736,0.840648,1.226498,0.384455,-1.647118,GOOD
-0.43686,-0.410435,1.872189,1.644228,0.192293,1.232518,1.38152,0.077648,0.730914,-0.419736,1.478217,-0.631457,AVG
-1.830287,1.572633,0.896569,-1.018566,0.978788,-0.796923,0.060192,1.36586,0.541958,0.493597,0.186499,-0.394722,AVG
1.790983,0.012159,1.105843,1.119343,-0.266217,-0.935042,-0.403521,-0.972015,0.501346,1.279173,-0.774122,-2.81242,BAVG
-0.43171,-0.230869,1.333761,0.597878,-1.027396,0.149025,-0.738658,-0.068296,-0.697105,0.959076,-1.697032,0.978231,BAVG
-1.874938,-0.743511,-0.028584,0.414574,-0.332615,-2.155735,-0.054794,-1.177067,-1.015201,0.447606,0.933502,0.934511,BAVG
-0.932994,-0.994459,-0.56204,-0.297396,-1.273326,0.304361,0.31565,0.239637,-2.093915,0.240168,-0.328101,-1.26032,AVG
-2.118866,0.424513,0.005059,-0.292488,-1.011128,-0.365522,-0.828403,0.713143,-0.500284,1.77409,0.72604,1.31793,AVG
-0.677036,0.024314,-0.364813,-0.357553,-0.081851,-2.257212,0.527512,-1.246299,-0.878669,0.999707,1.262879,0.904874,BAVG
-1.980632,-0.385527,0.422928,0.016051,0.981741,-0.249867,-0.613889,-0.644846,-1.092831,-0.367651,0.099181,1.26482,AVG
-0.183155,-0.799795,1.637388,-0.372176,-0.17179,-0.0681,1.758617,1.107264,0.369603,0.088348,0.140507,0.120681,AVG
-1.804681,-0.371877,0.403974,-1.221076,-0.194249,-1.01831,0.501027,0.221162,-0.337693,1.383238,-0.799067,0.378834,VRYGOOD
-1.741231,1.006952,-0.260709,-0.563391,-0.548729,0.441815,0.651028,0.570248,-0.131255,1.189874,-0.618458,0.97175,AVG
0.892963,1.921094,-0.619719,-0.47865,-0.077676,0.704354,0.38919,-1.828545,-0.604024,0.328278,-1.092215,-0.794714,AVG
-1.077625,1.018428,-0.923086,-0.005973,0.221532,1.891263,0.713098,-1.182771,-0.064164,-0.262946,-0.135527,-0.682479,AVG
-1.475815,0.838139,1.034243,-1.668671,-1.240264,0.186515,0.869623,-0.320309,0.56241,0.617392,-0.520857,-0.504413,BAVG
2.887027,-0.433135,0.30337,-1.056264,0.296259,-1.848732,2.2696,-1.119552,-0.15464,0.970715,-0.750952,0.106847,GOOD
1.236097,-0.91744,2.070987,1.582193,-2.15889,-0.34671,-0.001473,-0.040098,1.490381,-0.469272,-1.135993,-1.002074,VRYGOOD
-0.663077,0.484176,-0.081958,-0.141766,-0.471433,-0.169349,1.515509,0.285942,-2.228199,-0.2246,-0.598453,0.480658,AVG
-0.979511,1.37659,0.693471,0.088251,1.737804,-1.057125,1.548746,-0.397778,0.014854,-1.15467,0.03169,0.14491,GOOD
-1.043523,0.457274,0.336004,0.997661,1.261389,-0.107404,0.780875,0.223308,-0.142081,0.329549,0.479108,0.512259,AVG
-0.461912,2.310535,0.860629,0.007671,-0.067192,1.61506,1.096042,1.601461,2.437604,-0.217632,0.434539,0.223182,GOOD
-0.838424,-0.485689,-0.426538,0.080468,0.192259,-0.409511,0.651737,0.334446,-0.935228,1.027025,-0.281395,0.449263,GOOD
-1.444394,0.664582,0.94505,0.127115,0.078704,-0.409361,-0.167558,-1.302105,0.214492,-0.538345,0.270281,-1.036987,AVG
6.929264,1.482432,1.647409,0.228917,-1.230828,1.366672,-0.118566,-1.318593,-2.616808,1.549906,2.508718,-0.114274,EXCL
-1.504359,-1.152728,-0.719557,-0.641168,-0.807535,-1.118312,0.879548,1.787598,-0.235502,0.3148,-0.990101,-0.02691,GOOD
-1.067674,2.465322,-0.362104,-0.159475,0.461136,-0.483667,1.033045,-0.246342,-0.156035,-0.787913,-0.071518,1.475361,VRYGOOD
-1.043857,-0.318283,0.287852,-0.394691,-2.267116,0.516873,-0.267847,0.937534,-0.972868,0.154444,-1.074605,-1.150169,AVG
-0.76986,-0.070919,0.048394,0.743986,0.580495,-0.841185,0.997954,-0.333871,-0.329833,0.28212,0.555548,1.468053,GOOD
1.151166,-0.038324,-0.703399,-0.943269,1.255788,0.762508,-0.328648,-1.675157,-1.575496,-1.420167,-0.648188,0.870934,AVG
-0.497495,0.660506,-0.105483,-0.668839,-2.142431,2.083947,0.468183,-0.270574,1.441415,0.105285,-2.067333,0.427327,EXCL
-0.129872,0.262842,1.389019,0.110418,0.541241,0.802106,0.710424,1.337355,1.364829,2.127314,-2.68992,0.970993,GOOD
-1.094268,1.137756,0.538489,-0.614846,0.003459,-0.627148,-0.349363,-1.236512,0.677692,-0.043555,-0.136967,-1.051568,AVG
-1.370802,-0.054495,0.92199,0.400264,0.204704,-0.242479,0.837694,-1.000236,0.182775,0.095387,0.629743,-1.041279,AVG
-1.621455,0.290808,-0.209941,1.099493,0.923078,0.2934,0.490193,-0.837563,-1.22206,0.245671,-0.292335,0.382322,AVG
-1.285307,-0.609036,0.593239,-0.129068,0.807619,-0.554551,-0.208007,1.503066,-0.922188,-0.864148,-0.211161,-0.593557,GOOD
-1.054891,2.350365,1.877081,-0.564899,0.049575,0.100635,0.708958,-0.642295,0.463057,-1.001111,-0.002377,-0.827408,AVG
-0.795269,0.823957,-0.227414,-0.590042,0.767008,0.804886,-0.726032,0.965662,1.099976,0.235788,-1.478916,2.323674,VRYGOOD
