Branch,Gender,Xmarks,Xboard,XIIMarks,XIIGrade,Year Gap,Region,Residence,Residents,Computer Access,Father Qualification,M1 Qualification,Family Business,College Liking,Co-Curricular,Programming Experience,Travel Way,Fianancial Crisis,Sibling to look,Travel Duration,Post Graduation,Health,Grades
1,1,5,3,4,3,0,4,4,4,2,4,2,2,1,2,2,5,2,1,9,2,3,AVG
1,1,5,3,4,3,0,4,4,5,2,3,4,2,2,1,1,5,2,2,6,2,5,AVG
1,1,5,3,5,3,0,3,3,4,2,3,5,2,2,2,2,5,2,2,8,2,1,GOOD
1,1,4,3,5,3,0,4,4,5,2,3,5,2,3,1,2,5,2,2,5,3,5,GOOD
1,1,4,3,4,3,1,4,2,5,2,3,5,1,1,2,1,4,2,1,6,3,5,BAVG
1,1,4,3,4,3,1,4,4,4,2,4,4,2,3,2,1,4,2,1,9,2,2,AVG
1,2,5,3,4,3,1,4,4,5,2,4,4,2,3,2,2,3,2,2,6,2,4,VRYGOOD
1,1,5,2,5,3,0,4,4,5,2,4,5,2,3,1,1,2,1,2,7,2,3,VRYGOOD
1,1,4,3,4,2,0,4,4,5,2,3,5,2,1,2,2,5,2,1,8,3,4,GOOD
1,1,5,3,4,3,0,4,4,4,2,3,4,2,3,2,1,4,2,2,6,2,5,GOOD
1,1,4,3,5,3,1,4,4,5,2,3,5,2,3,2,2,2,2,1,5,2,4,AVG
1,1,5,1,5,3,0,4,4,5,2,4,2,1,3,1,2,2,2,1,7,2,4,VRYGOOD
1,1,5,3,4,3,1,4,4,4,2,4,5,1,3,2,1,5,2,2,9,3,5,GOOD
1,2,5,3,5,3,0,4,3,4,2,4,5,1,1,1,1,3,2,2,8,3,5,GOOD
1,1,3,3,4,1,0,4,2,4,2,4,4,1,1,2,1,1,2,1,6,3,4,GOOD
1,1,5,2,4,3,0,4,2,4,2,4,5,1,3,1,1,1,2,1,9,3,4,AVG
1,1,4,2,3,3,0,4,4,5,2,4,5,2,3,2,2,4,2,2,8,3,3,AVG
1,1,4,3,3,1,1,4,2,4,2,2,5,1,3,1,1,4,2,2,9,3,3,BAVG
1,2,4,3,4,3,0,2,4,4,2,4,5,1,3,1,1,4,2,1,9,2,3,BAVG
2,1,4,3,5,3,0,4,4,5,2,4,5,1,3,1,2,4,2,2,8,2,5,BAVG
1,2,5,3,4,3,1,4,4,4,2,4,5,1,3,2,1,4,2,1,9,2,5,AVG
2,1,4,3,4,3,0,4,4,5,2,4,5,2,3,2,2,4,2,1,8,2,3,AVG
2,1,3,3,4,3,0,4,4,5,2,3,5,1,2,1,2,4,2,2,8,2,5,BAVG
1,1,4,3,5,3,0,4,4,5,2,4,5,2,3,1,2,4,1,1,7,2,5,AVG
1,1,5,3,4,3,0,4,3,4,2,4,4,2,1,2,2,1,2,2,9,2,4,AVG
1,1,3,3,5,3,0,4,4,5,2,4,5,1,3,2,2,4,2,2,8,2,3,VRYGOOD
1,1,4,3,4,3,0,4,4,5,2,4,5,2,2,2,2,4,2,1,5,2,3,AVG
1,1,3,3,3,3,1,4,4,4,2,4,2,1,2,1,1,5,2,1,6,3,3,AVG
1,1,5,3,4,3,0,4,4,4,2,4,4,2,1,2,1,5,2,1,5,3,5,AVG
1,1,4,3,4,3,0,4,4,5,2,4,5,2,1,2,1,4,2,2,8,2,3,BAVG
1,1,2,3,4,3,1,4,2,4,2,1,3,1,1,1,2,4,2,2,9,2,4,GOOD
1,1,5,3,5,2,1,4,2,3,2,3,4,2,3,1,1,1,2,2,6,2,2,VRYGOOD
1,2,4,3,4,3,0,4,4,4,2,4,5,1,1,1,2,4,2,1,9,2,4,AVG
1,1,5,2,4,3,0,4,4,5,2,3,4,2,1,1,2,4,2,2,9,3,5,GOOD
1,1,5,3,3,3,0,4,4,5,2,3,4,2,3,1,2,2,2,1,7,3,4,AVG
1,1,4,1,4,3,0,4,3,5,2,3,4,2,2,2,1,2,2,1,7,3,2,GOOD
1,1,5,3,4,3,1,4,4,5,2,3,4,2,3,2,2,3,2,1,7,2,5,GOOD
1,1,4,3,4,3,0,4,4,4,2,4,5,2,3,1,1,4,2,2,6,3,4,AVG
2,1,1,3,1,2,2,3,2,2,1,3,4,1,1,1,1,1,2,1,7,3,5,EXCL
1,2,5,3,4,3,0,4,4,5,2,3,5,1,3,2,2,3,2,2,7,2,3,GOOD
1,1,4,1,4,3,0,4,4,4,2,4,5,1,2,1,2,5,2,1,6,2,4,VRYGOOD
1,2,5,3,4,3,1,4,3,4,2,4,5,2,3,2,1,5,2,1,8,2,3,AVG
1,1,4,3,4,3,0,4,4,5,2,3,4,2,3,1,2,2,2,1,6,2,5,GOOD
1,1,4,3,4,3,0,4,4,1,2,4,3,1,1,1,2,5,1,1,7,2,5,AVG
1,1,5,3,5,3,0,4,3,3,2,3,4,2,1,2,1,5,2,1,5,2,1,EXCL
1,1,5,3,4,3,0,2,4,5,2,3,4,1,1,2,2,2,2,2,8,3,1,GOOD
1,1,4,3,3,3,0,4,4,4,2,3,5,2,3,1,1,5,2,2,6,3,3,AVG
1,1,4,3,4,3,0,4,4,5,2,4,5,1,3,1,1,2,2,2,7,3,4,AVG
1,1,4,3,5,3,0,4,4,4,2,4,5,1,3,1,2,4,2,1,6,3,4,AVG
1,2,4,3,4,3,0,4,4,5,2,4,5,1,3,1,2,2,1,2,8,3,3,GOOD
1,1,4,2,4,3,0,4,4,4,2,4,5,2,1,1,1,4,2,2,9,3,3,AVG
1,1,4,2,5,3,0,3,4,5,2,3,4,2,2,2,2,4,1,1,5,2,3,VRYGOOD
1,1,5,3,5,3,1,4,4,2,2,3,5,1,1,1,2,4,2,2,5,3,3,BAVG
1,1,4,3,4,3,1,2,2,4,2,4,2,2,2,1,1,1,1,2,6,3,3,BAVG
1,1,4,3,5,3,0,4,4,5,2,4,5,2,3,1,2,3,2,1,6,2,5,GOOD
1,1,3,3,4,3,0,4,4,5,2,4,5,2,1,1,2,4,2,2,8,3,4,AVG
1,1,3,3,4,3,0,4,4,5,2,4,5,2,1,1,1,5,2,1,8,3,2,AVG
1,2,4,3,4,3,0,4,3,4,2,4,5,2,3,1,1,3,2,2,8,2,4,AVG
1,1,5,3,5,3,0,4,4,5,2,1,2,1,3,1,2,5,2,2,8,3,4,GOOD
1,1,4,3,4,1,0,4,4,4,2,2,1,1,2,1,1,4,2,2,9,2,4,AVG
1,2,5,3,5,3,0,4,4,5,2,3,4,2,3,2,2,5,2,1,8,3,5,AVG
1,1,4,2,4,3,1,4,4,5,2,4,5,2,2,1,2,4,2,1,8,2,3,AVG
1,1,5,2,4,3,0,4,4,4,2,3,5,1,1,1,1,4,2,2,6,3,4,AVG
1,2,5,3,4,3,0,4,4,5,2,4,5,1,3,1,2,5,1,2,7,2,2,BAVG
1,2,5,3,4,2,1,4,3,4,2,3,4,2,1,1,2,3,2,1,8,2,4,GOOD
1,1,4,1,2,1,1,2,4,4,2,3,2,2,3,1,1,5,2,2,6,3,5,AVG
1,1,4,3,5,3,1,4,4,5,2,3,5,2,3,1,2,4,1,2,5,3,5,AVG
1,1,5,3,4,3,0,4,4,5,2,4,5,2,3,2,1,2,1,1,7,3,5,GOOD
1,2,4,1,4,3,0,4,4,5,2,4,5,2,1,2,2,2,2,2,7,3,4,GOOD
1,2,4,2,4,3,0,4,3,4,2,4,4,1,3,2,2,3,1,2,5,3,4,VRYGOOD
1,1,5,3,3,3,0,4,4,4,2,4,5,2,3,2,2,5,2,2,9,3,5,GOOD
1,1,4,3,4,3,1,4,2,4,2,4,5,1,3,1,1,1,2,1,9,3,3,AVG
1,1,4,3,5,3,0,4,4,5,2,3,4,2,1,1,1,4,1,2,7,3,5,VRYGOOD
1,1,5,2,3,3,0,4,4,5,2,2,3,1,3,2,2,5,2,2,7,3,4,GOOD
1,1,4,3,4,3,0,4,4,5,2,4,5,2,3,1,2,4,1,1,8,3,3,GOOD
1,1,4,3,4,3,0,4,4,4,2,3,4,2,3,2,1,4,1,1,9,3,3,AVG
1,2,4,3,4,3,0,4,4,4,2,4,5,2,3,1,2,4,1,2,9,3,3,AVG
1,1,5,2,4,3,0,4,4,4,2,4,5,1,3,1,2,4,1,1,6,3,3,GOOD
1,1,4,3,5,3,0,4,4,4,2,4,4,2,3,1,1,5,1,2,8,3,5,GOOD
1,2,4,3,4,3,0,4,3,4,2,4,4,2,3,1,2,3,1,2,5,3,4,VRYGOOD
1,1,2,3,3,3,0,4,4,4,2,3,5,2,1,2,2,5,1,2,9,3,3,AVG
1,1,4,3,2,3,0,4,4,4,2,3,5,2,2,2,2,5,1,1,9,3,3,GOOD
1,1,5,3,4,3,0,4,4,4,2,4,2,1,3,2,1,5,1,1,9,3,4,GOOD
1,1,3,3,4,3,0,2,2,4,2,1,3,1,3,1,2,2,2,2,9,3,4,GOOD
